2020-09-24 nBSQ in PMMA grosse Substrate INT
Wavelength (nm)	No1 5pct nBSQ	No2 1pct nBSQ	No3 0.5pct nBSQ
1047.632568	0.858140	0.855116	0.849210	
1051.057373	0.859645	0.855046	0.848499	
1054.482300	0.859883	0.856994	0.849772	
1057.907227	0.861180	0.856811	0.849285	
1061.332153	0.860371	0.857791	0.851403	
1064.757080	0.858255	0.857187	0.851126	
1068.182007	0.859987	0.856124	0.848693	
1071.607178	0.860029	0.856001	0.848904	
1075.032104	0.861089	0.857614	0.849143	
1078.457275	0.858531	0.856984	0.849010	
1081.882446	0.856881	0.856947	0.849420	
1085.307739	0.853523	0.854901	0.851334	
1088.732910	0.856764	0.855162	0.848141	
1092.158325	0.859634	0.857698	0.847484	
1095.583740	0.858943	0.859455	0.850936	
1099.009033	0.859294	0.857776	0.848535	
1102.434692	0.859899	0.857695	0.850593	
1105.860229	0.860684	0.857547	0.850709	
1109.285889	0.861101	0.859836	0.850973	
1112.711670	0.858971	0.858145	0.850002	
1116.137451	0.859907	0.858044	0.849458	
1119.563354	0.859922	0.858773	0.850101	
1122.989380	0.857813	0.857966	0.850477	
1126.415405	0.858044	0.859192	0.852575	
1129.841553	0.858025	0.859574	0.850600	
1133.267944	0.860458	0.858396	0.850798	
1136.694336	0.862877	0.860721	0.850970	
1140.120850	0.860598	0.859705	0.852287	
1143.547363	0.859988	0.860823	0.851856	
1146.973999	0.862179	0.862352	0.851446	
1150.400879	0.863334	0.863720	0.852866	
1153.827881	0.860779	0.861493	0.854513	
1157.254883	0.859790	0.860999	0.853861	
1160.682007	0.861097	0.861428	0.852971	
1164.109375	0.861382	0.861002	0.853534	
1167.536743	0.861525	0.861244	0.853021	
1170.964355	0.861418	0.862092	0.853451	
1174.391968	0.862272	0.863227	0.853134	
1177.819824	0.862360	0.863806	0.853979	
1181.247803	0.861587	0.863006	0.854234	
1184.676025	0.862946	0.864048	0.856052	
1188.104248	0.861923	0.864250	0.856101	
1191.532593	0.864302	0.864333	0.856137	
1194.961182	0.863581	0.863215	0.855737	
1198.389893	0.861701	0.863751	0.856109	
1201.818848	0.863459	0.863299	0.855947	
1205.247925	0.864667	0.865665	0.857197	
1208.677246	0.861565	0.863977	0.857608	
1212.106689	0.865536	0.865679	0.855775	
1215.536255	0.863847	0.865112	0.858125	
1218.965942	0.866337	0.867097	0.858889	
1222.395874	0.862324	0.865660	0.859469	
1225.826050	0.863194	0.863729	0.857517	
1229.256348	0.864668	0.864610	0.857762	
1232.686890	0.863077	0.865808	0.859710	
1236.117554	0.865773	0.867816	0.858899	
1239.548462	0.866805	0.868765	0.861066	
1242.979614	0.866909	0.868272	0.861018	
1246.410889	0.867465	0.869132	0.861794	
1249.842407	0.864781	0.868413	0.861844	
1253.274170	0.866331	0.867036	0.859381	
1256.706055	0.866747	0.868726	0.861952	
1260.138306	0.865589	0.867295	0.861218	
1263.570557	0.867368	0.869350	0.862311	
1267.003174	0.866771	0.868192	0.862077	
1270.436157	0.867478	0.868001	0.860339	
1273.869141	0.870166	0.870428	0.863273	
1277.302490	0.866234	0.869534	0.864525	
1280.736084	0.869630	0.871279	0.864382	
1284.169678	0.868205	0.870813	0.864519	
1287.603760	0.864913	0.868492	0.863871	
1291.038086	0.867620	0.870221	0.864109	
1294.472534	0.869738	0.871461	0.864978	
1297.907349	0.869843	0.871258	0.865909	
1301.342407	0.870261	0.870657	0.866233	
1304.777588	0.867896	0.869202	0.865288	
1308.213257	0.867715	0.869491	0.865769	
1311.649048	0.868920	0.871289	0.867463	
1315.085205	0.869415	0.870648	0.867007	
1318.521484	0.870153	0.870387	0.868905	
1321.958130	0.871554	0.870838	0.868415	
1325.395142	0.867600	0.868786	0.866899	
1328.832275	0.869976	0.870832	0.866925	
1332.269775	0.871161	0.870776	0.867544	
1335.707520	0.870182	0.870796	0.867848	
1339.145630	0.870732	0.871037	0.868534	
1342.583984	0.871468	0.872752	0.869086	
1346.022705	0.873736	0.873417	0.871060	
1349.461670	0.873146	0.870992	0.868292	
1352.900879	0.870421	0.870698	0.869469	
1356.340576	0.871797	0.874674	0.871063	
1359.780396	0.871310	0.872960	0.872272	
1363.220581	0.875254	0.872640	0.870834	
1366.661133	0.874397	0.873922	0.870208	
1370.101929	0.872685	0.875507	0.871880	
1373.543213	0.874553	0.872503	0.871719	
1376.984619	0.875532	0.873798	0.873456	
1380.426514	0.876111	0.873617	0.872258	
1383.868652	0.877980	0.876171	0.874332	
1387.311279	0.876544	0.873356	0.875095	
1390.754150	0.872193	0.874036	0.875129	
1394.197266	0.873122	0.873207	0.875128	
1397.640869	0.878745	0.874854	0.874787	
1401.084717	0.876231	0.874162	0.874463	
1404.529053	0.877872	0.876062	0.875663	
1407.973511	0.874487	0.875505	0.874944	
