2021-07-05 SQIB in 40mg/mL PMMA medium spin speed annealed at 180C
Wavelength (nm)	No6 10pct 180C	No7 4pct 180C
1263.748291	0.880635	0.886444	
1267.182495	0.875773	0.882338	
1270.616943	0.881199	0.887386	
1274.051514	0.875648	0.882431	
1277.486450	0.881612	0.887969	
1280.921631	0.875213	0.882827	
1284.356812	0.881338	0.889421	
1287.792358	0.874919	0.883671	
1291.228149	0.883053	0.888737	
1294.664063	0.873452	0.883365	
1298.100342	0.881906	0.890560	
1301.536743	0.875601	0.882379	
1304.973389	0.885572	0.891654	
1308.410400	0.876671	0.883418	
1311.847534	0.885027	0.891352	
1315.284912	0.879009	0.885134	
1318.722534	0.884501	0.893179	
1322.160522	0.877033	0.886035	
1325.598755	0.886861	0.894023	
1329.037109	0.880631	0.885706	
1332.475830	0.886279	0.893647	
1335.914795	0.879942	0.885855	
1339.354004	0.886725	0.893362	
1342.793579	0.882098	0.887610	
1346.233276	0.887480	0.893307	
1349.673462	0.881113	0.889596	
1353.113770	0.885958	0.892960	
1356.554443	0.885396	0.894052	
1359.995361	0.883011	0.890613	
1363.436523	0.888290	0.894414	
1366.878052	0.876457	0.884081	
1370.319824	0.889198	0.895454	
1373.761963	0.879336	0.886448	
1377.204346	0.889890	0.896386	
1380.647217	0.871414	0.881546	
1384.090210	0.875602	0.885447	
1387.533569	0.872288	0.882192	
1390.977295	0.880738	0.887581	
1394.421265	0.875497	0.881935	
1397.865601	0.883881	0.891214	
1401.310303	0.872341	0.881162	
1404.755249	0.886882	0.895483	
1408.200562	0.875273	0.883673	
1411.646240	0.892333	0.899424	
1415.092285	0.884718	0.891340	
1418.538574	0.892409	0.899361	
1421.985352	0.882894	0.889844	
1425.432373	0.895524	0.900686	
1428.879761	0.883841	0.890048	
1432.327515	0.893189	0.899854	
1435.775635	0.883305	0.891273	
1439.224243	0.894491	0.900963	
1442.673096	0.886358	0.894379	
1446.122314	0.894184	0.900582	
1449.571899	0.883126	0.889637	
1453.021851	0.896497	0.903673	
1456.472290	0.883534	0.893212	
1459.923096	0.895593	0.902199	
1463.374268	0.884136	0.892556	
1466.825684	0.896185	0.902709	
1470.277588	0.887132	0.892104	
1473.729980	0.898931	0.903589	
1477.182739	0.886728	0.892676	
1480.635864	0.895773	0.903853	
1484.089355	0.884732	0.891552	
1487.543335	0.895867	0.902245	
1490.997681	0.882984	0.888683	
1494.452393	0.895224	0.904136	
1497.907715	0.880656	0.888727	
1501.363281	0.895157	0.902356	
1504.819336	0.883140	0.888027	
1508.275879	0.892245	0.899817	
1511.732788	0.881518	0.889897	
1515.190186	0.896099	0.902459	
1518.647949	0.880580	0.890178	
1522.106201	0.890157	0.896919	
1525.564819	0.882899	0.890040	
1529.024048	0.889489	0.894519	
1532.483643	0.882367	0.890497	
1535.943604	0.883584	0.891258	
1539.404053	0.884485	0.891971	
1542.865112	0.888574	0.889951	
1546.326538	0.887160	0.892160	
1549.788330	0.885147	0.890462	
1553.250732	0.885831	0.892079	
1556.713623	0.883492	0.889964	
1560.177002	0.885284	0.894308	
1563.640869	0.882740	0.889396	
1567.105103	0.887993	0.894540	
1570.569946	0.884675	0.890254	
1574.035156	0.887265	0.896295	
1577.500977	0.885667	0.892596	
1580.967163	0.886499	0.895771	
1584.433960	0.887603	0.893702	
1587.901245	0.887827	0.895516	
1591.369019	0.886236	0.894105	
1594.837402	0.890464	0.893676	
1598.306152	0.887226	0.895432	
1601.775513	0.888640	0.896789	
1605.245361	0.885812	0.893970	
1608.715698	0.887916	0.895829	
1612.186768	0.887422	0.896079	
1615.658081	0.890893	0.895208	
1619.130127	0.889135	0.895337	
1622.602661	0.889459	0.895498	
1626.075684	0.889624	0.895612	
1629.549194	0.888187	0.896774	
1633.023438	0.890156	0.898313	
1636.498169	0.892232	0.895787	
1639.973389	0.893390	0.896591	
1643.449219	0.891601	0.896350	
1646.925537	0.891397	0.897244	
1650.402588	0.888191	0.896349	
1653.880127	0.887545	0.896069	
1657.358032	0.889583	0.898409	
1660.836670	0.889497	0.894894	
1664.316040	0.889793	0.896805	
1667.795654	0.892068	0.897471	
1671.276123	0.891815	0.897393	
1674.757080	0.891056	0.897124	
1678.238647	0.888321	0.896213	
1681.720947	0.892484	0.897465	
1685.203491	0.891201	0.896099	
1688.686890	0.892084	0.898231	
