NoP PMMA 40mgmL
Wavelength (nm)	Intensity
984.303833	0.853825	
985.868347	0.853829	
987.432739	0.853628	
988.996887	0.854772	
990.560852	0.854648	
992.124634	0.853656	
993.688171	0.853177	
995.251465	0.852605	
996.814575	0.856494	
998.377563	0.854886	
999.940247	0.854388	
1013.382019	0.852541	
1016.810181	0.852949	
1020.238159	0.853967	
1023.666199	0.852243	
1027.094238	0.853064	
1030.522217	0.853621	
1033.950073	0.854234	
1037.378174	0.852773	
1040.805908	0.854140	
1044.233887	0.853389	
1047.661865	0.855235	
1051.089722	0.855983	
1054.517578	0.855565	
1057.945557	0.856085	
1061.373413	0.858330	
1064.801392	0.857232	
1068.229248	0.862863	
1071.657227	0.859244	
1075.085205	0.866601	
1078.513184	0.861325	
1081.941162	0.867820	
1085.369263	0.865351	
1088.797241	0.868743	
1092.225342	0.867857	
1095.653564	0.870359	
1099.081787	0.870550	
1102.510010	0.870289	
1105.938232	0.869996	
1109.366577	0.872409	
1112.795044	0.873054	
1116.223389	0.871447	
1119.651978	0.873237	
1123.080566	0.872378	
1126.509155	0.874411	
1129.937866	0.872195	
1133.366699	0.875468	
1136.795654	0.872439	
1140.224487	0.874168	
1143.653564	0.870933	
1147.082764	0.874218	
1150.511963	0.873731	
1153.941162	0.877201	
1157.370605	0.872461	
1160.800049	0.875751	
1164.229736	0.873018	
1167.659424	0.876356	
1171.089233	0.872916	
1174.519165	0.876583	
1177.949219	0.874008	
1181.379395	0.878150	
1184.809814	0.872687	
1188.240112	0.877779	
1191.670654	0.874368	
1195.101318	0.880067	
1198.532227	0.874357	
1201.963135	0.878595	
1205.394287	0.873828	
1208.825562	0.879008	
1212.256958	0.874615	
1215.688477	0.879597	
1219.120239	0.874899	
1222.552124	0.881968	
1225.984131	0.875462	
1229.416260	0.880374	
1232.848755	0.875667	
1236.281250	0.881044	
1239.713989	0.875375	
1243.146851	0.878744	
1246.579956	0.877020	
1250.013306	0.882467	
1253.446655	0.876999	
1256.880371	0.882453	
1260.314209	0.878035	
1263.748291	0.880881	
1267.182495	0.876939	
1270.616943	0.882282	
1274.051514	0.877224	
1277.486450	0.883806	
1280.921631	0.877719	
1284.356812	0.882972	
1287.792358	0.878418	
1291.228149	0.885019	
1294.664063	0.878783	
1298.100342	0.886193	
1301.536743	0.880966	
1304.973389	0.888213	
1308.410400	0.879366	
1311.847534	0.886410	
1315.284912	0.879963	
1318.722534	0.888030	
1322.160522	0.879111	
1325.598755	0.888479	
1329.037109	0.881991	
1332.475830	0.889930	
1335.914795	0.879953	
1339.354004	0.888580	
1342.793579	0.882651	
1346.233276	0.888402	
1349.673462	0.884836	
1353.113770	0.889185	
1356.554443	0.888721	
1359.995361	0.885618	
1363.436523	0.892179	
1366.878052	0.879424	
1370.319824	0.889956	
1373.761963	0.882562	
1377.204346	0.891757	
1380.647217	0.876488	
1384.090210	0.880664	
1387.533569	0.876117	
1390.977295	0.883170	
1394.421265	0.877201	
1397.865601	0.886556	
1401.310303	0.877384	
1404.755249	0.890411	
1408.200562	0.877249	
1411.646240	0.894113	
1415.092285	0.883701	
1418.538574	0.893749	
1421.985352	0.884837	
1425.432373	0.894125	
1428.879761	0.886608	
1432.327515	0.894052	
1435.775635	0.886550	
1439.224243	0.894441	
1442.673096	0.885120	
1446.122314	0.894573	
1449.571899	0.885468	
1453.021851	0.897041	
1456.472290	0.887538	
1459.923096	0.897444	
1463.374268	0.887670	
1466.825684	0.898817	
1470.277588	0.886096	
1473.729980	0.896563	
1477.182739	0.887653	
1480.635864	0.897878	
1484.089355	0.886069	
1487.543335	0.898462	
1490.997681	0.880757	
1494.452393	0.897354	
1497.907715	0.883814	
1501.363281	0.897956	
1504.819336	0.883847	
1508.275879	0.895770	
1511.732788	0.884914	
1515.190186	0.897436	
1518.647949	0.880697	
1522.106201	0.890005	
1525.564819	0.883575	
1529.024048	0.892142	
1532.483643	0.883475	
1535.943604	0.886367	
1539.404053	0.885873	
1542.865112	0.889134	
1546.326538	0.887833	
1549.788330	0.883482	
1553.250732	0.886805	
1556.713623	0.887820	
1560.177002	0.888513	
1563.640869	0.885383	
1567.105103	0.888234	
1570.569946	0.885677	
1574.035156	0.890253	
1577.500977	0.889009	
1580.967163	0.889866	
1584.433960	0.887113	
1587.901245	0.888603	
1591.369019	0.888168	
1594.837402	0.888518	
1598.306152	0.888373	
1601.775513	0.890122	
1605.245361	0.887963	
1608.715698	0.888885	
1612.186768	0.887701	
1615.658081	0.890591	
1619.130127	0.886575	
1622.602661	0.889318	
1626.075684	0.886027	
1629.549194	0.888639	
1633.023438	0.889098	
1636.498169	0.890196	
1639.973389	0.890922	
1643.449219	0.889575	
1646.925537	0.891157	
1650.402588	0.889882	
1653.880127	0.892332	
1657.358032	0.890586	
1660.836670	0.889440	
1664.316040	0.890131	
1667.795654	0.890493	
1671.276123	0.886728	
1674.757080	0.888584	
1678.238647	0.890152	
1681.720947	0.890983	
1685.203491	0.892297	
1688.686890	0.890076	
