2021-07-05 SQIB in PMMA 40mgmL medium spin speed dried at 60C
Wavelength (nm)	No1 10pct	No2 4pct	No3 2pct	No4 1pct	No5 0.5pct
404.213074	0.832287	0.842444	0.829931	0.815000	0.859679	
405.814514	0.833359	0.843829	0.830766	0.816035	0.860300	
407.415955	0.833786	0.843905	0.831479	0.816794	0.859522	
409.017395	0.834890	0.844986	0.832140	0.817185	0.859604	
410.618835	0.835099	0.845134	0.832130	0.817398	0.859739	
412.220276	0.836327	0.845068	0.832364	0.817350	0.859669	
413.821716	0.836019	0.845370	0.832269	0.817405	0.859766	
415.423157	0.836758	0.845939	0.831931	0.817733	0.859356	
417.024597	0.835868	0.845920	0.832226	0.817392	0.860010	
418.626038	0.837065	0.845631	0.832217	0.817873	0.859995	
420.227448	0.836880	0.846120	0.832453	0.818077	0.859792	
421.828918	0.837049	0.845837	0.832359	0.818309	0.859998	
423.430328	0.837497	0.846685	0.832729	0.818630	0.860106	
425.031738	0.837907	0.846058	0.832853	0.818494	0.860194	
426.633148	0.837923	0.846887	0.833046	0.818812	0.860737	
428.234558	0.838284	0.846990	0.833382	0.819400	0.860856	
429.835938	0.838602	0.847105	0.833667	0.819466	0.860832	
431.437347	0.839106	0.847678	0.833717	0.819531	0.860756	
433.038727	0.839477	0.847593	0.834452	0.820245	0.862006	
434.640076	0.839663	0.847918	0.834124	0.819763	0.861377	
436.241455	0.840263	0.848475	0.834115	0.819991	0.861738	
437.842834	0.840150	0.848161	0.834018	0.820078	0.861388	
439.444183	0.840691	0.848212	0.834539	0.820495	0.861907	
441.045502	0.841376	0.848509	0.834717	0.821018	0.861535	
442.646820	0.841406	0.848125	0.835144	0.821165	0.861776	
444.248138	0.841341	0.848016	0.834979	0.821141	0.862169	
445.849457	0.842648	0.848748	0.835697	0.821625	0.862710	
447.450745	0.842320	0.849517	0.836000	0.822079	0.863271	
449.052002	0.843154	0.849135	0.836536	0.822321	0.863678	
450.653259	0.843842	0.849776	0.836513	0.822661	0.863839	
452.254547	0.844000	0.850324	0.836912	0.823115	0.864057	
453.855774	0.844266	0.850410	0.836938	0.823281	0.863826	
455.456970	0.844707	0.850476	0.837137	0.823741	0.864492	
457.058197	0.845336	0.850645	0.837921	0.823959	0.865031	
458.659363	0.845747	0.851399	0.838495	0.824159	0.865798	
460.260559	0.845845	0.851737	0.839326	0.824859	0.866157	
461.861664	0.846402	0.852296	0.839129	0.825436	0.866232	
463.462830	0.846612	0.852549	0.839321	0.824916	0.866207	
465.063904	0.847045	0.852529	0.839004	0.825264	0.866825	
466.665039	0.847042	0.852779	0.839687	0.825352	0.866611	
468.266113	0.847777	0.852942	0.840010	0.825714	0.866947	
469.867126	0.847767	0.853026	0.840216	0.826280	0.867738	
471.468170	0.848033	0.853608	0.841392	0.826159	0.867443	
473.069183	0.848376	0.853876	0.841369	0.826893	0.868094	
474.670166	0.848892	0.854738	0.840783	0.827286	0.868089	
476.271149	0.849410	0.855029	0.841863	0.827110	0.868645	
477.872070	0.849241	0.854694	0.842119	0.827626	0.868737	
479.472992	0.849872	0.855005	0.842655	0.827260	0.868964	
481.073883	0.850507	0.856000	0.842576	0.827903	0.868520	
482.674744	0.850817	0.856619	0.843137	0.828229	0.868902	
484.275574	0.851855	0.856987	0.843356	0.828729	0.869393	
485.876404	0.852505	0.858095	0.843960	0.828679	0.869591	
487.477203	0.853607	0.858458	0.844250	0.829309	0.869692	
489.077942	0.854181	0.858969	0.844520	0.829603	0.869928	
490.678650	0.854563	0.859422	0.845120	0.830029	0.870121	
492.279388	0.854785	0.859590	0.845622	0.830166	0.870324	
493.880035	0.855200	0.860974	0.845834	0.830845	0.870680	
495.480713	0.856283	0.861536	0.846285	0.830885	0.870627	
497.081299	0.856925	0.861729	0.846700	0.831099	0.870851	
498.681885	0.857495	0.862302	0.846490	0.831363	0.870802	
500.282410	0.857530	0.862695	0.847118	0.831734	0.871384	
501.882965	0.858122	0.863224	0.847110	0.831897	0.871997	
503.483459	0.858438	0.863230	0.847692	0.832407	0.871126	
505.083893	0.857893	0.863499	0.847919	0.832674	0.871688	
506.684326	0.857984	0.864033	0.848111	0.832767	0.871736	
508.284729	0.858064	0.864135	0.848569	0.832569	0.871589	
509.885071	0.857686	0.864849	0.848450	0.832951	0.871862	
511.485352	0.857087	0.864376	0.848414	0.833073	0.871957	
513.085632	0.856603	0.864580	0.848575	0.833511	0.871397	
514.685913	0.857042	0.865034	0.849755	0.834734	0.872963	
516.286072	0.856332	0.864858	0.849764	0.833951	0.872066	
517.886292	0.854828	0.865059	0.848373	0.833854	0.871808	
519.486450	0.854922	0.864959	0.848911	0.834360	0.872158	
521.086487	0.854139	0.864849	0.848463	0.834013	0.871922	
522.686584	0.853147	0.864651	0.849036	0.834112	0.872327	
524.286560	0.852398	0.864673	0.848636	0.834396	0.872482	
525.886536	0.850889	0.864421	0.849490	0.834781	0.872711	
527.486450	0.849846	0.863890	0.848997	0.834924	0.872435	
529.086365	0.848328	0.863498	0.848706	0.835131	0.872370	
530.686218	0.846826	0.862630	0.848380	0.834757	0.872145	
532.286011	0.845424	0.862421	0.848009	0.835135	0.871564	
533.885803	0.842915	0.861781	0.848004	0.835062	0.872303	
535.485474	0.840638	0.860705	0.847792	0.834633	0.872439	
537.085144	0.838435	0.859722	0.847170	0.834649	0.872459	
538.684814	0.835838	0.857902	0.846439	0.834449	0.872846	
540.284363	0.832878	0.856641	0.845750	0.833984	0.872477	
541.883911	0.829759	0.854877	0.845300	0.834156	0.872488	
543.483398	0.826088	0.853067	0.844153	0.833248	0.872167	
545.082886	0.822645	0.851537	0.843449	0.833655	0.872355	
546.682251	0.818653	0.850159	0.842031	0.832809	0.871974	
548.281616	0.814729	0.848058	0.841563	0.832989	0.871830	
549.880920	0.810094	0.845677	0.840662	0.832520	0.871634	
551.480164	0.805245	0.843383	0.839289	0.831918	0.871480	
553.079346	0.800746	0.841061	0.838156	0.831126	0.871262	
554.678528	0.795217	0.838319	0.837596	0.830648	0.870924	
556.277649	0.789570	0.835573	0.836237	0.830692	0.870865	
557.876648	0.783761	0.833231	0.835193	0.830107	0.870424	
559.475647	0.778372	0.830437	0.834006	0.829336	0.870356	
561.074585	0.772025	0.827099	0.832892	0.828965	0.870118	
562.673462	0.765526	0.823980	0.831307	0.828550	0.870535	
564.272339	0.758871	0.820935	0.830390	0.828007	0.869772	
565.871094	0.751122	0.817015	0.828452	0.827560	0.869586	
567.469849	0.743579	0.812880	0.826417	0.826457	0.869264	
569.068481	0.734377	0.808304	0.824589	0.825307	0.868868	
570.667114	0.725514	0.803657	0.822646	0.823841	0.868584	
572.265686	0.715032	0.797872	0.820057	0.822687	0.867533	
573.864136	0.704422	0.792065	0.817068	0.821179	0.866993	
575.462646	0.693052	0.785625	0.813485	0.819560	0.866116	
577.060974	0.679381	0.778035	0.810155	0.817665	0.864934	
578.659302	0.665754	0.769997	0.805880	0.815678	0.863607	
580.257629	0.650794	0.760856	0.801475	0.813539	0.862332	
581.855835	0.634213	0.750921	0.796269	0.810527	0.861063	
583.453979	0.617570	0.740896	0.790808	0.807000	0.859453	
