2021-07-05 SQIB 5mg/mL no annealing high = medium spin speed
Wavelength (nm)	No8 SQIB neat	No9 SQIB neat
664.865906	0.333171	0.236891	
666.460144	0.328992	0.233370	
668.054321	0.324966	0.229963	
669.648315	0.321044	0.226847	
671.242310	0.317468	0.223628	
672.836121	0.313227	0.220689	
674.429871	0.309535	0.217939	
676.023560	0.306142	0.215030	
677.617126	0.302548	0.212393	
679.210571	0.299520	0.209949	
680.804016	0.296348	0.207527	
682.397339	0.293057	0.205249	
683.990479	0.290600	0.203387	
685.583618	0.287894	0.201265	
687.176636	0.285246	0.199619	
688.769470	0.282911	0.198165	
690.362305	0.280789	0.196871	
691.955017	0.279053	0.195746	
693.547607	0.277420	0.194846	
695.140137	0.276073	0.194225	
696.732544	0.275228	0.193962	
698.324829	0.274322	0.193655	
699.917053	0.273989	0.194060	
701.509155	0.274240	0.194667	
703.101196	0.274839	0.196101	
704.693054	0.276467	0.197808	
706.284851	0.278673	0.200221	
707.876587	0.282019	0.203368	
709.468140	0.286252	0.207763	
711.059631	0.291624	0.212847	
712.651001	0.298626	0.219535	
714.242249	0.307375	0.227830	
715.833374	0.318805	0.237931	
717.424438	0.332260	0.250051	
719.015442	0.348814	0.264216	
720.606262	0.367572	0.280769	
722.196960	0.388903	0.299309	
723.787598	0.411855	0.319840	
725.378052	0.433443	0.339206	
726.968445	0.457477	0.359860	
728.558716	0.483676	0.384586	
730.148926	0.507200	0.407060	
731.738953	0.531679	0.430596	
733.328918	0.554064	0.453131	
734.918762	0.575006	0.473482	
736.508423	0.594527	0.493334	
738.098022	0.611144	0.510863	
739.687561	0.626804	0.527638	
741.276917	0.641169	0.543162	
742.866150	0.653974	0.557575	
744.455322	0.665712	0.570795	
746.044312	0.676430	0.583318	
747.633179	0.686531	0.595608	
749.221985	0.695923	0.606178	
750.810669	0.704957	0.617109	
752.399170	0.712243	0.626733	
753.987610	0.719936	0.635989	
755.575867	0.726914	0.644180	
757.164063	0.733679	0.652150	
758.752136	0.739224	0.659632	
760.340027	0.744502	0.667088	
761.927856	0.749967	0.674167	
763.515503	0.755168	0.680405	
765.103149	0.759566	0.685892	
766.690552	0.763165	0.692266	
768.277832	0.766769	0.697108	
769.865051	0.769965	0.702102	
771.452026	0.773771	0.707335	
773.039001	0.777579	0.711756	
774.625793	0.780388	0.715848	
776.212463	0.783783	0.720265	
777.799011	0.787018	0.724464	
779.385376	0.789175	0.728038	
780.971680	0.791629	0.731023	
782.557861	0.793188	0.734621	
784.143860	0.795514	0.737716	
785.729736	0.797733	0.741358	
787.315491	0.801009	0.743994	
788.901123	0.802479	0.746683	
790.486633	0.804062	0.750156	
792.071960	0.805749	0.752722	
793.657166	0.807769	0.755370	
795.242249	0.809204	0.757955	
796.827209	0.810824	0.760291	
798.411987	0.812663	0.762434	
799.996704	0.814310	0.764969	
801.581177	0.815683	0.766904	
803.165649	0.816787	0.768376	
804.749878	0.817809	0.770708	
806.333984	0.819399	0.772077	
807.917969	0.819407	0.774078	
809.501831	0.820759	0.776493	
811.085510	0.821867	0.778298	
812.669067	0.823073	0.780017	
814.252502	0.823910	0.780574	
815.835754	0.825299	0.782448	
817.418884	0.826735	0.783882	
