SQIB isotropic	n	k	e1	e2												
591.44373	0.98877	1.17825	-0.4106	2.33003
593.04156	1.00656	1.19396	-0.41239	2.40357
594.63928	1.02461	1.20919	-0.41232	2.47789
596.23688	1.0429	1.22393	-0.41036	2.55287
597.83447	1.06141	1.23818	-0.4065	2.62843
599.43201	1.08011	1.25194	-0.40071	2.70448
601.02942	1.09899	1.26522	-0.39301	2.78092
602.62677	1.11801	1.27802	-0.3834	2.85767
604.22406	1.13715	1.29035	-0.37189	2.93465
605.82135	1.1564	1.30222	-0.35851	3.01178
607.41852	1.17574	1.31363	-0.34328	3.08897
609.01556	1.19513	1.32461	-0.32626	3.16615
610.61267	1.21456	1.33515	-0.30748	3.24325
612.2096	1.23401	1.34528	-0.28701	3.32019
613.80652	1.25346	1.35502	-0.26492	3.39691
615.40326	1.27287	1.36437	-0.24131	3.47333
617.00006	1.29222	1.37337	-0.21631	3.5494
618.59674	1.31148	1.38206	-0.19012	3.62509
620.1933	1.33063	1.39051	-0.16296	3.70051
621.78986	1.34969	1.39878	-0.13492	3.77583
623.38629	1.36869	1.4069	-0.10605	3.85121
624.98267	1.38765	1.41491	-0.07639	3.92679
626.57898	1.4066	1.42283	-0.04593	4.00272
628.17517	1.42557	1.4307	-0.01465	4.07913
629.77136	1.44459	1.43853	0.01749	4.15616
631.36737	1.46369	1.44632	0.05054	4.23394
632.96338	1.4829	1.45411	0.08457	4.31261
634.55926	1.50226	1.46189	0.11966	4.39227
636.15515	1.52179	1.46967	0.1559	4.47305
637.75085	1.54152	1.47746	0.19341	4.55506
639.34656	1.56149	1.48525	0.23229	4.63842
640.94214	1.58174	1.49305	0.2727	4.72323
642.53766	1.60229	1.50085	0.31476	4.8096
644.13306	1.62317	1.50866	0.35864	4.89762
645.72839	1.64443	1.51645	0.40452	4.9874
647.32367	1.66609	1.52423	0.45258	5.07902
648.91882	1.6882	1.53198	0.50303	5.17258
650.51398	1.71078	1.5397	0.5561	5.26817
652.10901	1.73388	1.54735	0.61205	5.36584
653.70392	1.75753	1.55492	0.67114	5.46566
655.29871	1.78177	1.56239	0.73363	5.56766
