;Filter 1;Filter 2
filter glass type;UG5;BG39
Reflection factor  P;0.910;0.910
Reference thickness;1.00;1.00
Filter thickness   d;3.000;3.000
?[nm];ti 1;ti 2
756;4.28E-01;8.51E-12
757;4.23E-01;6.96E-12
758;4.19E-01;5.71E-12
759;4.14E-01;4.78E-12
760;4.10E-01;3.86E-12
761;4.06E-01;3.18E-12
762;4.02E-01;2.62E-12
763;3.98E-01;2.14E-12
764;3.95E-01;1.82E-12
765;3.91E-01;1.49E-12
766;3.87E-01;1.25E-12
767;3.83E-01;1.01E-12
768;3.79E-01;8.40E-13
769;3.75E-01;7.20E-13
770;3.72E-01;5.99E-13
771;3.68E-01;4.93E-13
772;3.65E-01;4.19E-13
773;3.61E-01;3.45E-13
774;3.58E-01;2.89E-13
775;3.55E-01;2.41E-13
776;3.52E-01;2.05E-13
777;3.49E-01;1.71E-13
778;3.46E-01;1.42E-13
779;3.43E-01;1.19E-13
780;3.40E-01;1.00E-13
781;3.37E-01;8.42E-14
782;3.34E-01;7.19E-14
783;3.31E-01;6.26E-14
784;3.29E-01;5.37E-14
785;3.26E-01;4.60E-14
786;3.23E-01;3.91E-14
787;3.20E-01;3.32E-14
788;3.18E-01;2.79E-14
789;3.15E-01;2.32E-14
790;3.13E-01;1.98E-14
791;3.11E-01;1.71E-14
792;3.09E-01;1.49E-14
793;3.07E-01;1.29E-14
794;3.05E-01;1.14E-14
795;3.03E-01;1.00E-14
796;3.02E-01;8.70E-15
797;2.99E-01;7.56E-15
798;2.97E-01;6.71E-15
799;2.96E-01;5.76E-15
800;2.94E-01;4.73E-15
801;2.93E-01;4.23E-15
802;2.91E-01;3.79E-15
803;2.90E-01;3.38E-15
804;2.89E-01;3.01E-15
805;2.87E-01;2.59E-15
806;2.86E-01;2.23E-15
807;2.85E-01;2.05E-15
808;2.84E-01;1.89E-15
809;2.82E-01;1.65E-15
810;2.81E-01;1.44E-15
811;2.80E-01;1.32E-15
812;2.79E-01;1.20E-15
813;2.78E-01;1.06E-15
814;2.77E-01;9.34E-16
815;2.76E-01;8.37E-16
816;2.75E-01;7.49E-16
817;2.74E-01;6.78E-16
818;2.73E-01;6.13E-16
819;2.72E-01;5.50E-16
820;2.72E-01;4.93E-16
821;2.71E-01;4.59E-16
822;2.70E-01;4.28E-16
823;2.70E-01;3.91E-16
824;2.69E-01;3.57E-16
825;2.68E-01;3.22E-16
826;2.68E-01;2.91E-16
827;2.68E-01;2.74E-16
828;2.67E-01;2.58E-16
829;2.67E-01;2.36E-16
830;2.67E-01;2.16E-16
831;2.66E-01;2.03E-16
832;2.66E-01;1.90E-16
833;2.66E-01;1.76E-16
834;2.65E-01;1.64E-16
835;2.65E-01;1.58E-16
836;2.65E-01;1.52E-16
837;2.65E-01;1.40E-16
838;2.65E-01;1.29E-16
839;2.65E-01;1.21E-16
840;2.65E-01;1.13E-16
841;2.65E-01;1.07E-16
842;2.65E-01;1.01E-16
843;2.65E-01;9.74E-17
844;2.65E-01;9.39E-17
845;2.66E-01;9.04E-17
846;2.66E-01;8.70E-17
847;2.66E-01;8.06E-17
848;2.67E-01;7.45E-17
849;2.67E-01;7.09E-17
850;2.67E-01;6.74E-17
851;2.68E-01;6.62E-17
852;2.68E-01;6.51E-17
853;2.69E-01;6.59E-17
854;2.70E-01;6.67E-17
855;2.70E-01;6.43E-17
856;2.70E-01;6.19E-17
857;2.70E-01;5.74E-17
858;2.70E-01;5.31E-17
859;2.70E-01;5.23E-17
860;2.70E-01;5.15E-17
861;2.70E-01;5.67E-17
862;2.70E-01;6.25E-17
863;2.70E-01;6.47E-17
864;2.70E-01;6.70E-17
865;2.70E-01;6.28E-17
866;2.70E-01;5.89E-17
867;2.71E-01;6.04E-17
868;2.71E-01;6.19E-17
869;2.71E-01;6.17E-17
870;2.72E-01;6.14E-17
871;2.72E-01;6.13E-17
872;2.72E-01;6.13E-17
873;2.72E-01;6.06E-17
874;2.72E-01;5.99E-17
875;2.72E-01;6.27E-17
876;2.72E-01;6.55E-17
877;2.72E-01;6.02E-17
878;2.73E-01;5.53E-17
879;2.73E-01;5.87E-17
880;2.73E-01;6.23E-17
881;2.73E-01;5.82E-17
882;2.74E-01;5.43E-17
883;2.74E-01;5.83E-17
884;2.75E-01;6.26E-17
885;2.75E-01;6.42E-17
886;2.75E-01;6.59E-17
887;2.76E-01;6.61E-17
888;2.76E-01;6.63E-17
889;2.76E-01;6.91E-17
890;2.77E-01;7.20E-17
891;2.77E-01;7.48E-17
892;2.78E-01;7.78E-17
893;2.78E-01;7.18E-17
894;2.79E-01;6.64E-17
895;2.79E-01;7.31E-17
896;2.79E-01;8.05E-17
897;2.79E-01;8.34E-17
898;2.80E-01;8.63E-17
899;2.80E-01;8.94E-17
900;2.80E-01;9.26E-17
901;2.81E-01;8.48E-17
902;2.82E-01;7.76E-17
903;2.83E-01;8.05E-17
904;2.84E-01;8.36E-17
905;2.84E-01;8.59E-17
906;2.85E-01;8.84E-17
907;2.86E-01;9.10E-17
908;2.87E-01;9.38E-17
909;2.88E-01;9.86E-17
910;2.88E-01;1.04E-16
911;2.89E-01;1.07E-16
912;2.89E-01;1.10E-16
913;2.89E-01;1.15E-16
914;2.89E-01;1.21E-16
915;2.89E-01;1.26E-16
916;2.89E-01;1.31E-16
917;2.90E-01;1.38E-16
918;2.90E-01;1.46E-16
919;2.91E-01;1.51E-16
920;2.91E-01;1.57E-16
921;2.92E-01;1.65E-16
922;2.93E-01;1.74E-16
923;2.94E-01;1.84E-16
924;2.96E-01;1.94E-16
